Terms,Freq,Posting,Compress Posting,Gamma Code
ajuda,40,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 13, 15, 21, 26, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 64, 65, 66, 67, 68, 69, 70, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 6, 5, 23, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 22, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 11001, 100, 11010, 11001, 111100111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11010, 0, 0, 0, 0, 0, 0, 111100110, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ajudá,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 38]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 30]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 111101110]"
akira,2,"[95, 97]","[95, 2]","[1111110011111, 100]"
akos,1,[98],[98],[1111110100010]
alan,3,"[6, 10, 70]","[6, 4, 60]","[11010, 11000, 11111011100]"
alarme,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alcoólicas,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
alegre,19,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 59, 60, 61, 62, 63, 64, 67, 68, 70]","[27, 1, 1, 1, 1, 1, 1, 1, 1, 1, 23, 1, 1, 1, 1, 1, 3, 1, 2]","[111101011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100111, 0, 0, 0, 0, 0, 101, 0, 100]"
alemanha,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 66]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 58]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 11111011010]"
alemao,1,[79],[79],[1111110001111]
alemão,20,"[4, 8, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]","[4, 4, 56, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11000, 11000, 11111011000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alexandre,3,"[6, 10, 11]","[6, 4, 1]","[11010, 11000, 0]"
algebra,3,"[64, 65, 69]","[64, 1, 4]","[1111110000000, 0, 11000]"
algo,6,"[6, 7, 18, 89, 93, 99]","[6, 1, 11, 71, 4, 6]","[11010, 0, 1110011, 1111110000111, 11000, 11010]"
algum,9,"[8, 9, 10, 11, 12, 13, 14, 15, 16]","[8, 1, 1, 1, 1, 1, 1, 1, 1]","[1110000, 0, 0, 0, 0, 0, 0, 0, 0]"
alguma,14,"[1, 3, 6, 10, 18, 24, 28, 32, 56, 65, 70, 71, 72, 99]","[1, 2, 3, 4, 8, 6, 4, 4, 24, 9, 5, 1, 1, 27]","[0, 100, 101, 11000, 1110000, 11010, 11000, 11000, 111101000, 1110001, 11001, 0, 0, 111101011]"
alguns,11,"[0, 1, 3, 5, 10, 14, 16, 17, 48, 50, 72]","[0, 1, 2, 2, 5, 4, 2, 1, 31, 2, 22]","[0, 0, 100, 100, 11001, 11000, 100, 0, 111101111, 100, 111100110]"
alguém,7,"[5, 14, 16, 42, 69, 83, 93]","[5, 9, 2, 26, 27, 14, 10]","[11001, 1110001, 100, 111101010, 111101011, 1110110, 1110010]"
alice,3,"[9, 93, 94]","[9, 84, 1]","[1110001, 1111110010100, 0]"
alimentares,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
alimentação,12,"[25, 52, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[25, 27, 30, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111101001, 111101011, 111101110, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alimentos,31,"[25, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[25, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111101001, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alisadoras,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alma,19,"[0, 14, 21, 32, 48, 69, 79, 82, 87, 91, 92, 93, 94, 95, 96, 97, 99, 100, 101]","[0, 14, 7, 11, 16, 21, 10, 3, 5, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1]","[0, 1110110, 11011, 1110011, 111100000, 111100101, 1110010, 101, 11001, 11000, 0, 0, 0, 0, 0, 0, 100, 0, 0]"
almofada,18,"[64, 65, 66, 67, 68, 69, 70, 86, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[64, 1, 1, 1, 1, 1, 1, 16, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0, 111100000, 11010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alta,19,"[6, 10, 11, 12, 14, 15, 16, 20, 22, 23, 71, 76, 77, 83, 84, 87, 88, 91, 100]","[6, 4, 1, 1, 2, 1, 1, 4, 2, 1, 48, 5, 1, 6, 1, 3, 1, 3, 9]","[11010, 11000, 0, 0, 100, 0, 0, 11000, 100, 0, 11111010000, 11001, 0, 11010, 0, 101, 0, 101, 1110001]"
alteração,28,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]","[9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 23, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100111, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alto,13,"[3, 69, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 100]","[3, 66, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9]","[101, 1111110000010, 1110101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110001]"
altura,45,"[9, 10, 11, 12, 13, 14, 15, 16, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 101]","[9, 1, 1, 1, 1, 1, 1, 1, 43, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 6]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111001011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 11010]"
aluguel,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
