word,Field Text,Freq,Posting,Compress Posting
184,irmãos.title,1,[50],[50]
90,isaac.author,1,[34],[34]
91,isaacson.author,1,[10],[10]
92,jackson.author,1,[91],[91]
93,james.author,1,[93],[93]
94,jancee.author,1,[18],[18]
185,japones.title,1,[20],[20]
95,joaquim.author,1,[53],[53]
186,joaquim.title,1,[53],[53]
187,jobs.title,1,[10],[10]
96,johan.author,1,[45],[45]
97,john.author,1,[2],[2]
98,jojo.author,1,[55],[55]
188,jojo.title,1,[55],[55]
189,joseph.title,1,[89],[89]
99,joão.author,1,[27],[27]
100,julia.author,1,[93],[93]
101,juliet.author,1,[87],[87]
36,junho.publishing,1,[6],[6]
102,jussara.author,1,[39],[39]
103,katsuhiro.author,1,[97],[97]
104,kiera.author,1,[54],[54]
190,kiera.title,1,[54],[54]
105,king.author,1,[12],[12]
106,kolman.author,1,[65],[65]
37,koogan.publishing,1,[8],[8]
107,kurose.author,1,[7],[7]
108,kurumada.author,1,[28],[28]
191,labirinto.title,1,[94],[94]
192,laboratoriais.title,1,[74],[74]
193,lange.title,1,[75],[75]
38,larousse.publishing,1,[43],[43]
109,lauper.author,1,[18],[18]
110,lauren.author,1,[99],[99]
111,laurentino.author,1,[0],[0]
112,lavado.author,1,[53],[53]
194,lavado.title,1,[53],[53]
113,leahy.author,1,[42],[42]
195,leigos.title,2,"[20, 77]","[20, 57]"
114,lengen.author,1,[45],[45]
115,lenice.author,1,[22],[22]
39,letras.publishing,2,"[4, 18]","[4, 14]"
116,lewis.author,1,[9],[9]
40,leya.publishing,1,[19],[19]
196,libertadora.title,1,[91],[91]
117,lilian.author,1,[64],[64]
118,lindsey.author,1,[89],[89]
197,linear.title,1,[65],[65]
198,lingua.title,1,[77],[77]
199,linguagem.title,1,[41],[41]
119,lippincott.author,1,[82],[82]
120,lisa.author,1,[22],[22]
200,lister.title,1,[89],[89]
201,literatura.title,1,[43],[43]
202,livrinho.title,1,[15],[15]
203,livro.title,11,"[32, 50, 51, 52, 53, 54, 55, 56, 57, 58, 68]","[32, 18, 1, 1, 1, 1, 1, 1, 1, 1, 10]"
41,livros.publishing,2,"[0, 21]","[0, 21]"
121,lobato.author,1,[1],[1]
122,lobo.author,2,"[25, 52]","[25, 27]"
204,lobo.title,2,"[52, 85]","[52, 33]"
123,londono.author,1,[76],[76]
205,lonely.title,1,[21],[21]
124,lorenzo.author,1,[33],[33]
125,luccas.author,2,"[73, 92]","[73, 19]"
206,luccas.title,2,"[73, 92]","[73, 19]"
207,lugar.title,1,[24],[24]
126,luiz.author,1,[90],[90]
127,machado.author,2,"[38, 43]","[38, 5]"
208,madeline.title,1,[22],[22]
209,mafalda.title,1,[53],[53]
128,magda.author,1,[77],[77]
210,magia.title,1,[17],[17]
129,maklouf.author,1,[90],[90]
130,malagon.author,1,[76],[76]
211,maldições.title,2,"[5, 84]","[5, 79]"
42,manole.publishing,1,[48],[48]
212,manual.title,1,[45],[45]
213,maravilhas.title,1,[9],[9]
131,marcondes.author,1,[46],[46]
132,maria.author,3,"[24, 38, 47]","[24, 14, 9]"
133,marillier.author,1,[87],[87]
134,maroto.author,1,[6],[6]
135,marquez.author,1,[29],[29]
43,martins.publishing,1,[53],[53]
136,masami.author,1,[28],[28]
214,matematica.title,1,[78],[78]
215,maturacao.title,1,[71],[71]
137,maxwell.author,1,[86],[86]
138,maíra.author,1,[46],[46]
44,mcgraw.publishing,1,[75],[75]
139,mckinty.author,1,[83],[83]
216,mecum.title,1,[11],[11]
45,media.publishing,1,[73],[73]
46,mediacao.publishing,1,[39],[39]
217,medicina.title,1,[89],[89]
140,megan.author,1,[86],[86]
141,melhoramentos.author,3,"[79, 80, 81]","[79, 1, 1]"
47,melhoramentos.publishing,3,"[79, 80, 81]","[79, 1, 1]"
218,melhores.title,1,[1],[1]
142,mello.author,1,[35],[35]
219,mente.title,1,[49],[49]
220,mestres.title,1,[43],[43]
221,mexer.title,1,[56],[56]
143,meyer.author,1,[64],[64]
222,michaelis.title,3,"[79, 80, 81]","[79, 1, 1]"
144,michelle.author,1,[84],[84]
